"268615"	"Calcimycin"			"D000001"		"Calcimycin"			
"268616"	"Temefos"			"D000002"		"Temefos"			
"268617"	"Abattoirs"			"D000003"		"Abattoirs"			
"268618"	"Abbreviations as Topic"			"D000004"		"Abbreviations as Topic"			
"268619"	"Abdomen"			"D000005"		"Abdomen"			
"268620"	"Abdomen, Acute"			"D000006"		"Abdomen, Acute"			
"268621"	"Abdominal Injuries"			"D000007"		"Abdominal Injuries"			
"268622"	"Abdominal Neoplasms"			"D000008"		"Abdominal Neoplasms"			
"268623"	"Abdominal Muscles"			"D000009"		"Abdominal Muscles"			
"268624"	"Abducens Nerve"			"D000010"		"Abducens Nerve"			
"268625"	"Abelson murine leukemia virus"			"D000011"		"Abelson murine leukemia virus"			
"268626"	"Abetalipoproteinemia"			"D000012"		"Abetalipoproteinemia"			
"268627"	"Congenital Abnormalities"			"D000013"		"Congenital Abnormalities"			
"268628"	"Abnormalities, Drug-Induced"			"D000014"		"Abnormalities, Drug-Induced"			
"268629"	"Abnormalities, Multiple"			"D000015"		"Abnormalities, Multiple"			
"268630"	"Abnormalities, Radiation-Induced"			"D000016"		"Abnormalities, Radiation-Induced"			
"268631"	"ABO Blood-Group System"			"D000017"		"ABO Blood-Group System"			
"268632"	"Abomasum"			"D000018"		"Abomasum"			
"268633"	"Abortifacient Agents"			"D000019"		"Abortifacient Agents"			
"268634"	"Abortifacient Agents, Nonsteroidal"			"D000020"		"Abortifacient Agents, Nonsteroidal"			
"268635"	"Abortifacient Agents, Steroidal"			"D000021"		"Abortifacient Agents, Steroidal"			
"268636"	"Abortion, Spontaneous"			"D000022"		"Abortion, Spontaneous"			
"268637"	"Abortion Applicants"			"D000023"		"Abortion Applicants"			
"268638"	"Abortion, Criminal"			"D000024"		"Abortion, Criminal"			
"268639"	"Abortion, Eugenic"			"D000025"		"Abortion, Eugenic"			
"268640"	"Abortion, Habitual"			"D000026"		"Abortion, Habitual"			
"268641"	"Abortion, Incomplete"			"D000027"		"Abortion, Incomplete"			
"268642"	"Abortion, Induced"			"D000028"		"Abortion, Induced"			
"268643"	"Abortion, Legal"			"D000029"		"Abortion, Legal"			
"268644"	"Abortion, Missed"			"D000030"		"Abortion, Missed"			
"268645"	"Abortion, Septic"			"D000031"		"Abortion, Septic"			
"268646"	"Abortion, Therapeutic"			"D000032"		"Abortion, Therapeutic"			
"268647"	"Abortion, Threatened"			"D000033"		"Abortion, Threatened"			
"268648"	"Abortion, Veterinary"			"D000034"		"Abortion, Veterinary"			
"268649"	"Abreaction"			"D000035"		"Abreaction"			
"268650"	"Abrin"			"D000036"		"Abrin"			
"268651"	"Abruptio Placentae"			"D000037"		"Abruptio Placentae"			
"268652"	"Abscess"			"D000038"		"Abscess"			
"268653"	"Peritonsillar Abscess"			"D000039"		"Peritonsillar Abscess"			
"268654"	"Abscisic Acid"			"D000040"		"Abscisic Acid"			
"268655"	"Absenteeism"			"D000041"		"Absenteeism"			
"268656"	"Absorption"			"D000042"		"Absorption"			
"268657"	"Abstracting and Indexing as Topic"			"D000043"		"Abstracting and Indexing as Topic"			
"268658"	"Dental Abutments"			"D000044"		"Dental Abutments"			
"268659"	"Acacia"			"D000045"		"Acacia"			
"268660"	"Academic Medical Centers"			"D000046"		"Academic Medical Centers"			
"268661"	"Academies and Institutes"			"D000047"		"Academies and Institutes"			
"268662"	"Acanthamoeba"			"D000048"		"Acanthamoeba"			
"268663"	"Acanthocephala"			"D000049"		"Acanthocephala"			
"268664"	"Acanthocytes"			"D000050"		"Acanthocytes"			
"268665"	"Acantholysis"			"D000051"		"Acantholysis"			
"268666"	"Acanthosis Nigricans"			"D000052"		"Acanthosis Nigricans"			
"268667"	"Acari"			"D000053"		"Acari"			
"268668"	"Acceleration"			"D000054"		"Acceleration"			
"268669"	"Accessory Nerve"			"D000055"		"Accessory Nerve"			
"268670"	"Accident Prevention"			"D000056"		"Accident Prevention"			
"268671"	"Accident Proneness"			"D000057"		"Accident Proneness"			
"268672"	"Accidental Falls"			"D000058"		"Accidental Falls"			
"268673"	"Accidents"			"D000059"		"Accidents"			
"268674"	"Accidents, Aviation"			"D000060"		"Accidents, Aviation"			
"268675"	"Accidents, Home"			"D000061"		"Accidents, Home"			
"268676"	"Accidents, Occupational"			"D000062"		"Accidents, Occupational"			
"268677"	"Accidents, Traffic"			"D000063"		"Accidents, Traffic"			
"268678"	"Acclimatization"			"D000064"		"Acclimatization"			
"268679"	"Accommodation, Ocular"			"D000065"		"Accommodation, Ocular"			
"268680"	"Accounting"			"D000066"		"Accounting"			
"268681"	"Oil and Gas Industry"			"D000066388"		"Oil and Gas Industry"			
"268682"	"Coal Industry"			"D000066428"		"Coal Industry"			
"268683"	"Driving Under the Influence"			"D000066448"		"Driving Under the Influence"			
"268684"	"Human Embryonic Stem Cells"			"D000066449"		"Human Embryonic Stem Cells"			
"268685"	"Mouse Embryonic Stem Cells"			"D000066450"		"Mouse Embryonic Stem Cells"			
"268686"	"Embryonic Germ Cells"			"D000066473"		"Embryonic Germ Cells"			
"268687"	"Work Performance"			"D000066477"		"Work Performance"			
"268688"	"Criminal Behavior"			"D000066479"		"Criminal Behavior"			
"268689"	"Clinical Decision-Making"			"D000066491"		"Clinical Decision-Making"			
"268690"	"Cognitive Aging"			"D000066492"		"Cognitive Aging"			
"268691"	"Cognitive Neuroscience"			"D000066494"		"Cognitive Neuroscience"			
"268692"	"Emotional Adjustment"			"D000066498"		"Emotional Adjustment"			
"268693"	"Facial Recognition"			"D000066499"		"Facial Recognition"			
"268694"	"Grandparents"			"D000066502"		"Grandparents"			
"268695"	"Help-Seeking Behavior"			"D000066505"		"Help-Seeking Behavior"			
"268696"	"Heuristics"			"D000066506"		"Heuristics"			
"268697"	"Intimate Partner Violence"			"D000066511"		"Intimate Partner Violence"			
"268698"	"Neurological Rehabilitation"			"D000066530"		"Neurological Rehabilitation"			
"268699"	"Physical Abuse"			"D000066550"		"Physical Abuse"			
"268700"	"Problem Behavior"			"D000066553"		"Problem Behavior"			
"268701"	"Underage Drinking"			"D000066608"		"Underage Drinking"			
"268702"	"Ectopic Gene Expression"			"D000066630"		"Ectopic Gene Expression"			
"268703"	"Cell Plasticity"			"D000066670"		"Cell Plasticity"			
"268704"	"Cell Self Renewal"			"D000066673"		"Cell Self Renewal"			
"268705"	"Rehabilitation Research"			"D000066768"		"Rehabilitation Research"			
"268706"	"Orthodontists"			"D000066792"		"Orthodontists"			
"268707"	"Oral and Maxillofacial Surgeons"			"D000066794"		"Oral and Maxillofacial Surgeons"			
"268708"	"Neuroprotection"			"D000066829"		"Neuroprotection"			
"268709"	"Diet, Food, and Nutrition"			"D000066888"		"Diet, Food, and Nutrition"			
"268710"	"Triticale"			"D000066889"		"Triticale"			
"268711"	"Critical Care Outcomes"			"D000066891"		"Critical Care Outcomes"			
"268712"	"Simulation Training"			"D000066908"		"Simulation Training"			
"268713"	"Millets"			"D000066928"		"Millets"			
"268714"	"Biobehavioral Sciences"			"D000066949"		"Biobehavioral Sciences"			
"268715"	"Protein Corona"			"D000066970"		"Protein Corona"			
"268716"	"Vegetarians"			"D000066988"		"Vegetarians"			
"268717"	"Vegans"			"D000066989"		"Vegans"			
"268718"	"Accounts Payable and Receivable"			"D000067"		"Accounts Payable and Receivable"			
"268719"	"Youth Sports"			"D000067009"		"Youth Sports"			
"268720"	"Literacy"			"D000067010"		"Literacy"			
"268721"	"Severe Acute Malnutrition"			"D000067011"		"Severe Acute Malnutrition"			
"268722"	"Banking, Personal"			"D000067012"		"Banking, Personal"			
"268723"	"Evidence-Based Facility Design"			"D000067013"		"Evidence-Based Facility Design"			
"268724"	"Physical Appearance, Body"			"D000067029"		"Physical Appearance, Body"			
"268725"	"Fruit and Vegetable Juices"			"D000067030"		"Fruit and Vegetable Juices"			
"268726"	"Ghee"			"D000067048"		"Ghee"			
"268727"	"Hydraulic Fracking"			"D000067071"		"Hydraulic Fracking"			
"268728"	"Psychological Trauma"			"D000067073"		"Psychological Trauma"			
"268729"	"Peer Influence"			"D000067074"		"Peer Influence"			
"268730"	"Vegetable Products"			"D000067075"		"Vegetable Products"			
"268731"	"Direct-to-Consumer Advertising"			"D000067088"		"Direct-to-Consumer Advertising"			
"268732"	"Direct-To-Consumer Screening and Testing"			"D000067108"		"Direct-To-Consumer Screening and Testing"			
"268733"	"Extracellular Vesicles"			"D000067128"		"Extracellular Vesicles"			
"268734"	"Fungal Viruses"			"D000067148"		"Fungal Viruses"			
"268735"	"Telocytes"			"D000067170"		"Telocytes"			
"268736"	"Exoskeleton Device"			"D000067190"		"Exoskeleton Device"			
"268737"	"Shellfish Hypersensitivity"			"D000067208"		"Shellfish Hypersensitivity"			
"268738"	"Failure to Rescue, Health Care"			"D000067248"		"Failure to Rescue, Health Care"			
"268739"	"Psychiatric Rehabilitation"			"D000067250"		"Psychiatric Rehabilitation"			
"268740"	"Symptom Flare Up"			"D000067251"		"Symptom Flare Up"			
"268741"	"Isolated Heart Preparation"			"D000067268"		"Isolated Heart Preparation"			
"268742"	"Diet, Vegan"			"D000067269"		"Diet, Vegan"			
"268743"	"Behavior Observation Techniques"			"D000067289"		"Behavior Observation Techniques"			
"268744"	"Behavior Rating Scale"			"D000067290"		"Behavior Rating Scale"			
"268745"	"Alcohol Drinking in College"			"D000067292"		"Alcohol Drinking in College"			
"268746"	"Obesity, Metabolically Benign"			"D000067329"		"Obesity, Metabolically Benign"			
"268747"	"Whole Grains"			"D000067348"		"Whole Grains"			
"268748"	"Transanal Endoscopic Surgery"			"D000067368"		"Transanal Endoscopic Surgery"			
"268749"	"Transanal Endoscopic Microsurgery"			"D000067369"		"Transanal Endoscopic Microsurgery"			
"268750"	"Cold Injury"			"D000067390"		"Cold Injury"			
"268751"	"Personal Protective Equipment"			"D000067393"		"Personal Protective Equipment"			
"268752"	"Nerve Agents"			"D000067397"		"Nerve Agents"			
"268753"	"War-Related Injuries"			"D000067398"		"War-Related Injuries"			
"268754"	"Abnormal Involuntary Movement Scale"			"D000067399"		"Abnormal Involuntary Movement Scale"			
"268755"	"Blood Alcohol Content"			"D000067401"		"Blood Alcohol Content"			
