"1"	"PATIENTSET"	"Patient set"	"LIST"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSetGenerator"
"2"	"PATIENT_ENCOUNTER_SET"	"Encounter set"	"LIST"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultEncounterSetGenerator"
"3"	"XML"	"Generic query result"	"CATNUM"	"LH"		
"4"	"PATIENT_COUNT_XML"	"Number of patients"	"CATNUM"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientCountGenerator"
"5"	"PATIENT_GENDER_COUNT_XML"	"Gender patient breakdown"	"CATNUM"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultGenerator"
"6"	"PATIENT_VITALSTATUS_COUNT_XML"	"Vital Status patient breakdown"	"CATNUM"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultGenerator"
"7"	"PATIENT_RACE_COUNT_XML"	"Race patient breakdown"	"CATNUM"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultGenerator"
"8"	"PATIENT_AGE_COUNT_XML"	"Age patient breakdown"	"CATNUM"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultGenerator"
"9"	"PATIENTSET"	"Timeline"	"LIST"	"LA"		"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSetGenerator"
"10"	"PATIENT_LOS_XML"	"Length of stay breakdown"	"CATNUM"	"LA"	"DATA_LDS"	"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSQLCountGenerator"
"11"	"PATIENT_TOP20MEDS_XML"	"Top 20 medications breakdown"	"CATNUM"	"LA"	"DATA_LDS"	"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSQLCountGenerator"
"12"	"PATIENT_TOP20DIAG_XML"	"Top 20 diagnoses breakdown"	"CATNUM"	"LA"	"DATA_LDS"	"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSQLCountGenerator"
"13"	"PATIENT_INOUT_XML"	"Inpatient and outpatient breakdown"	"CATNUM"	"LA"	"DATA_LDS"	"edu.harvard.i2b2.crc.dao.setfinder.QueryResultPatientSQLCountGenerator"
